-0.50291,-0.46072,-0.5659,15.425,9.2492,6.1967,-1
-0.50456,-0.46108,-0.56929,15.39,9.2177,6.1945,-1
-0.4967,-0.4547,-0.56056,15.938,9.6255,6.3334,-1
-0.49328,-0.4512,-0.55693,15.64,9.4272,6.2335,-1
-0.48561,-0.44236,-0.55181,16.025,9.7041,6.3434,-1
-0.47807,-0.43345,-0.54646,16.019,9.7078,6.3358,-1
-0.49553,-0.45513,-0.55706,16.051,9.7008,6.3697,-1
-0.48679,-0.4453,-0.54998,16.103,9.7317,6.3921,-1
-0.47908,-0.43934,-0.54049,16.505,10.031,6.4945,-1
-0.48398,-0.4468,-0.54151,16.45,10.001,6.4667,-1
-0.47669,-0.43857,-0.53583,16.512,10.05,6.4801,-1
-0.48786,-0.4508,-0.54528,16.46,10.013,6.4649,-1
-0.49564,-0.45798,-0.55356,16.493,10.003,6.5078,-1
-0.50307,-0.46539,-0.56137,16.839,10.238,6.6195,-1
-0.48575,-0.44572,-0.54779,16.843,10.249,6.6153,-1
-0.50758,-0.47089,-0.5639,16.685,10.113,6.5892,-1
-0.50454,-0.46726,-0.56215,16.971,10.314,6.6752,-1
-0.50951,-0.47295,-0.56544,16.686,10.099,6.6044,-1
-0.52472,-0.4899,-0.57793,16.688,10.095,6.6082,-1
-0.51881,-0.48454,-0.57106,16.72,10.105,6.63,-1
-0.53197,-0.50101,-0.57994,17.182,10.449,6.7449,-1
-0.53275,-0.50183,-0.58044,16.979,10.307,6.6852,-1
-0.54543,-0.51537,-0.59172,16.861,10.229,6.6435,-1
-0.54766,-0.51677,-0.59508,16.83,10.198,6.6446,-1
-0.54655,-0.51577,-0.59428,17.133,10.422,6.7236,-1
-0.53562,-0.50189,-0.58791,17.267,10.505,6.7768,-1
-0.55206,-0.5196,-0.6019,17.023,10.317,6.7193,-1
-0.54358,-0.50906,-0.59592,16.629,10.029,6.6157,-1
-0.54833,-0.51752,-0.59573,16.855,10.222,6.6448,-1
-0.52819,-0.49334,-0.58203,16.804,10.209,6.6104,-1
-0.5298,-0.49458,-0.58426,16.956,10.307,6.6654,-1
-0.53456,-0.49817,-0.59064,16.919,10.271,6.6659,-1
-0.53923,-0.50421,-0.59341,17.055,10.368,6.7033,-1
-0.54451,-0.51025,-0.59762,17.272,10.509,6.779,-1
-0.53751,-0.49943,-0.59603,17.133,10.389,6.763,-1
-0.55578,-0.52032,-0.61025,17.216,10.438,6.7956,-1
-0.54968,-0.51295,-0.60658,17.432,10.604,6.8467,-1
-0.54372,-0.50852,-0.59853,17.317,10.555,6.7792,-1
-0.54039,-0.50292,-0.59825,16.96,10.303,6.6751,-1
-0.55797,-0.52558,-0.60882,17.537,10.72,6.8316,-1
-0.5501,-0.51533,-0.60454,17.619,10.761,6.8738,-1
-0.55161,-0.51568,-0.60698,17.235,10.461,6.7911,-1
-0.55728,-0.52099,-0.61369,17.628,10.738,6.9084,-1
-0.53768,-0.4968,-0.60105,17.389,10.582,6.8296,-1
-0.55365,-0.51486,-0.61315,17.302,10.484,6.8378,-1
-0.55357,-0.5157,-0.61275,17.961,10.964,7.0178,-1
-0.55959,-0.52145,-0.61881,17.731,10.796,6.9552,-1
-0.54559,-0.50443,-0.61006,17.977,10.985,7.0157,-1
-0.5408,-0.49689,-0.60945,18.038,11.016,7.0485,-1
-0.55322,-0.51112,-0.61851,17.826,10.851,6.9994,-1
-0.55343,-0.51276,-0.61682,18.038,11,7.0612,-1
-0.54066,-0.49832,-0.60674,17.986,10.975,7.0359,-1
-0.54653,-0.50489,-0.61199,18.288,11.192,7.1208,-1
-0.55037,-0.5087,-0.61596,18.297,11.202,7.1201,-1
-0.54665,-0.5021,-0.61707,18.407,11.29,7.1463,-1
-0.54916,-0.50359,-0.62042,18.008,10.999,7.0384,-1
